epoch,train_loss,train_acc,test_loss,test_acc,epoch_sec
1,0.786908,0.749400,0.468245,0.854500,0.0500
2,0.284019,0.919200,0.386646,0.880000,0.0490
3,0.163950,0.953400,0.384625,0.876500,0.0487
4,0.118855,0.967000,0.315123,0.905500,0.0488
5,0.086777,0.974800,0.368859,0.887000,0.0489
6,0.062130,0.983400,0.393478,0.890000,0.0491
7,0.046642,0.988800,0.398784,0.894500,0.0488
8,0.056279,0.983200,0.328081,0.911000,0.0486
9,0.036622,0.990800,0.350528,0.906000,0.0487
10,0.030537,0.991600,0.408820,0.894500,0.0489
11,0.027361,0.993000,0.353002,0.913500,0.0495
12,0.015269,0.996000,0.352988,0.910000,0.0487
13,0.008904,0.998600,0.349855,0.919500,0.0486
14,0.003364,0.999600,0.340221,0.918000,0.0486
15,0.001588,0.999800,0.335180,0.923000,0.0486
