epoca,tiempo_seg,train_loss,train_acc,train_precision,val_loss,val_acc,val_precision,som_lr,sigma,som_entrenandose
1,28.55,3.901554,0.022333,0.016496,3.871588,0.025000,0.000532,0.500000,3.000000,True
2,26.64,3.873039,0.021000,0.014940,3.861196,0.022000,0.000468,0.424795,2.784186,True
3,26.84,3.869254,0.021556,0.013116,3.862397,0.022000,0.000469,0.360902,2.583898,True
4,26.85,3.866331,0.024556,0.014592,3.848230,0.023000,0.000489,0.306619,2.398018,True
5,21.02,3.866083,0.022556,0.012349,3.854623,0.025000,0.001489,0.260500,2.225509,True
6,19.68,3.867193,0.022000,0.012107,3.846807,0.023000,0.000489,0.221319,2.065411,True
7,20.62,3.864371,0.019667,0.013544,3.855665,0.024000,0.000512,0.188030,1.916829,True
8,18.68,3.863462,0.020000,0.014921,3.857779,0.025000,0.001344,0.159749,1.778937,True
9,20.44,3.859948,0.024444,0.012228,3.855333,0.021000,0.000447,0.135721,1.650964,True
10,18.68,3.857050,0.023333,0.015526,3.855867,0.028000,0.001509,0.115307,1.532197,True
11,19.48,3.848648,0.030111,0.020252,3.843202,0.018000,0.000736,0.097964,1.421974,True
12,21.79,3.830885,0.026000,0.018893,3.789952,0.034000,0.009496,0.083229,1.319680,True
13,19.71,3.772512,0.038000,0.028189,3.776469,0.045000,0.004456,0.070711,1.224745,True
14,19.19,3.707343,0.044000,0.035165,3.681872,0.046000,0.004758,0.060075,1.136639,True
15,20.26,3.637430,0.051111,0.038241,3.659278,0.052000,0.015001,0.051039,1.054872,True
16,25.12,3.495531,0.073222,0.057949,3.491682,0.066000,0.031107,0.043362,0.978987,True
17,28.52,3.326755,0.098000,0.082562,3.306005,0.122000,0.112994,0.036840,0.908560,True
18,29.75,3.152848,0.133444,0.111254,3.115160,0.157000,0.110106,0.031299,0.843200,True
19,36.47,3.000002,0.160000,0.136348,2.920033,0.221000,0.181670,0.026591,0.782542,True
20,32.46,2.874737,0.190667,0.167485,2.868052,0.202000,0.224309,0.022592,0.726248,True
21,34.35,2.767579,0.216778,0.195545,2.838552,0.201000,0.178762,0.019194,0.674003,True
22,33.54,2.680838,0.231444,0.211095,2.671218,0.237000,0.267765,0.016307,0.625517,True
23,26.39,2.591351,0.255556,0.237052,2.590801,0.250000,0.255599,0.013854,0.580518,True
24,26.80,2.517742,0.277444,0.260320,2.515996,0.266000,0.279412,0.011770,0.538757,True
25,27.98,2.455863,0.294333,0.275871,2.371558,0.319000,0.297551,0.010000,0.500000,True
26,16.87,2.391097,0.314889,0.298293,2.340869,0.328000,0.351004,0.010000,0.500000,False
27,16.54,2.342620,0.323444,0.306206,2.282790,0.349000,0.340263,0.010000,0.500000,False
28,14.43,2.296281,0.333000,0.316744,2.239682,0.357000,0.347468,0.010000,0.500000,False
29,13.97,2.243322,0.350111,0.332397,2.269794,0.351000,0.356343,0.010000,0.500000,False
30,12.37,2.204644,0.358444,0.342905,2.270928,0.337000,0.369327,0.010000,0.500000,False
31,12.77,2.168824,0.364333,0.349422,2.155835,0.407000,0.398564,0.010000,0.500000,False
32,13.23,2.139480,0.371667,0.356518,2.230026,0.365000,0.379704,0.010000,0.500000,False
33,12.14,2.096555,0.389222,0.378448,2.187246,0.376000,0.385335,0.010000,0.500000,False
34,13.39,2.063380,0.391778,0.378650,2.037904,0.396000,0.404218,0.010000,0.500000,False
35,12.70,2.030349,0.404667,0.391540,2.071084,0.385000,0.445667,0.010000,0.500000,False
36,14.62,2.001615,0.404889,0.392954,2.306958,0.358000,0.387835,0.010000,0.500000,False
37,14.60,1.973205,0.417000,0.404657,2.112998,0.388000,0.412713,0.010000,0.500000,False
38,16.64,1.946164,0.425556,0.416844,1.998992,0.423000,0.439853,0.010000,0.500000,False
39,13.02,1.919644,0.427444,0.416279,1.914250,0.446000,0.472099,0.010000,0.500000,False
40,12.27,1.886691,0.440667,0.430680,2.003271,0.416000,0.447917,0.010000,0.500000,False
41,11.57,1.857944,0.438889,0.430568,2.062715,0.419000,0.436653,0.010000,0.500000,False
42,11.77,1.830363,0.451333,0.442808,1.958365,0.410000,0.422545,0.010000,0.500000,False
43,11.29,1.798768,0.462444,0.452666,1.932286,0.441000,0.478440,0.010000,0.500000,False
44,11.34,1.770625,0.474556,0.467587,1.858430,0.466000,0.501371,0.010000,0.500000,False
45,11.34,1.746413,0.470333,0.462562,1.906445,0.440000,0.478456,0.010000,0.500000,False
46,11.21,1.722808,0.480111,0.473100,1.667239,0.518000,0.525750,0.010000,0.500000,False
47,11.43,1.696614,0.489444,0.483165,1.885820,0.448000,0.493804,0.010000,0.500000,False
48,11.37,1.676378,0.493778,0.487970,1.770004,0.486000,0.486247,0.010000,0.500000,False
49,11.32,1.648891,0.503667,0.497721,1.869114,0.456000,0.492991,0.010000,0.500000,False
50,11.46,1.622523,0.511333,0.504748,1.739336,0.495000,0.504143,0.010000,0.500000,False
51,12.02,1.616978,0.510333,0.502739,1.704001,0.492000,0.503502,0.010000,0.500000,False
52,12.72,1.599360,0.510667,0.503682,1.625857,0.504000,0.526751,0.010000,0.500000,False
53,14.44,1.577323,0.516000,0.509275,1.691873,0.496000,0.522611,0.010000,0.500000,False
54,12.60,1.549889,0.525778,0.520575,1.586224,0.530000,0.540890,0.010000,0.500000,False
55,15.16,1.538249,0.533556,0.528182,1.668146,0.514000,0.523402,0.010000,0.500000,False
56,11.96,1.520822,0.537333,0.531671,1.626414,0.525000,0.550484,0.010000,0.500000,False
57,11.67,1.512310,0.534333,0.528946,1.660751,0.504000,0.515071,0.010000,0.500000,False
58,11.28,1.488646,0.548444,0.542855,1.710152,0.477000,0.497277,0.010000,0.500000,False
59,12.46,1.479128,0.552556,0.547876,1.632703,0.534000,0.544642,0.010000,0.500000,False
60,13.56,1.463244,0.554222,0.549685,1.673524,0.507000,0.519282,0.010000,0.500000,False
